,new_plot_code,rai_2566,tons_per_rai_2566,cane_type_2566,soil_2566,cane_area_2566,rai_2567,tons_per_rai_2567,cane_type_2567,soil_2567,cane_area_2567,rai_2568,tons_per_rai_2568,cane_type_2568,soil_2568,cane_area_2568,water,average_yield,average_area,additional_yield,average_additional_water(mm),yield_probability
181,927117,ทัพผึ้ง ,13.556009334889149,อ้อยตอ 1,เหนียว,17.14,ทัพผึ้ง ,8.715869311551923,อ้อยตอ 2,เหนียว,17.14,ทัพผึ้ง ,13.667444574095684,อ้อยน้ำราด,เหนียว,17.14,,11.979774406845586,17.14,4.890671660954556,209.41222276623273,1.0
182,927118,ทัพผึ้ง ,12.222325293753864,อ้อยตอ 1,เหนียว,32.34,ทัพผึ้ง ,6.581941867656153,อ้อยตอ 2,เหนียว,32.34,ทัพผึ้ง ,11.111984282907663,อ้อยน้ำราด,เหนียว,30.54,ชลประทาน (> 3 ครั้ง),9.97208381477256,31.74,2.8829810688815307,400.62085058271134,1.0
183,927111,ทัพผึ้ง ,6.2339979013641145,อ้อยตอ 2,เหนียว,9.53,ทัพผึ้ง ,3.706190975865688,อ้อยต้นฝน,เหนียว,9.53,ทัพผึ้ง ,6.610932475884244,อ้อยน้ำราด,เหนียว,9.33,ชลประทาน (> 3 ครั้ง),5.517040451038016,9.463333333333333,0.0,675.1904761904761,0.015829803834586827
184,927119,ทัพผึ้ง ,14.253976961053208,อ้อยน้ำราด,เหนียว,18.23,ทัพผึ้ง ,9.0,อ้อยตอ 1,เหนียว,18.23,ทัพผึ้ง ,8.526997840172788,อ้อยน้ำราด,เหนียว,18.52,ชลประทาน (> 3 ครั้ง),10.593658267075332,18.326666666666668,3.5045555211843027,341.42328369673305,1.0
185,927120,ทัพผึ้ง ,15.5741254858412,อ้อยตุลาคม,เหนียว,18.01,ทัพผึ้ง ,6.857301499167129,อ้อยตอ 1,เหนียว,18.01,ทัพผึ้ง ,4.6853070175438605,อ้อยตอ 2,เหนียว,18.24,ชลประทาน (> 3 ครั้ง),9.038911334184062,18.08666666666667,1.949808588293033,489.49442016256825,0.36622889885452037
186,927121,ทัพผึ้ง ,6.75853775853776,อ้อยตอ 1,เหนียว,20.79,ทัพผึ้ง ,9.94805194805195,อ้อยน้ำราด,เหนียว,20.79,ทัพผึ้ง ,9.9985401459854,อ้อยตอ 1,เหนียว,20.55,น้ำเสริม (1-3 ครั้ง),8.90170995085837,20.709999999999997,1.8126072049673407,502.56121857453894,0.3400794430569126
187,927122,ทัพผึ้ง ,9.345512311358222,อ้อยตอ 3,เหนียว,12.59,ทัพผึ้ง ,11.742652899126291,อ้อยน้ำราด,เหนียว,12.59,ทัพผึ้ง ,9.798785117691722,อ้อยตอ 1,เหนียว,13.17,น้ำเสริม (1-3 ครั้ง),10.295650109392078,12.783333333333333,3.2065473635010484,369.80501299990016,1.0
188,927123,ทัพผึ้ง ,7.930444697833524,อ้อยตอ 3,เหนียว,26.31,ทัพผึ้ง ,9.338654503990876,อ้อยน้ำราด,เหนียว,26.31,ทัพผึ้ง ,5.851530034000755,อ้อยตอ 1,เหนียว,26.47,น้ำเสริม (1-3 ครั้ง),7.706876411941718,26.363333333333333,0.617773666050689,616.3548889475534,0.1526270197805844
189,927124,ทัพผึ้ง ,14.128333333333332,อ้อยตุลาคม,เหนียว,12.0,ทัพผึ้ง ,6.985769728331176,อ้อยตอ 1,เหนียว,15.46,ทัพผึ้ง ,,พักดิน,เหนียว,,น้ำเสริม (1-3 ครั้ง),10.557051530832254,13.73,3.4679487849412247,344.9096395294072,1.0
190,927125,ทัพผึ้ง ,7.168181818181818,อ้อยตอ 1,เหนียว,26.4,ทัพผึ้ง ,4.5837121212121215,อ้อยน้ำราด,เหนียว,26.4,ทัพผึ้ง ,,พักดิน,เหนียว,,น้ำเสริม (1-3 ครั้ง),5.87594696969697,26.4,0.0,675.1904761904761,0.024733031278787742
191,900109,ทัพหลวง,16.81334279630944,อ้อยตุลาคม,ทราย ,70.45,ทัพหลวง,4.668133427963094,อ้อยตอ 1,ทราย ,70.45,ทัพหลวง,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),10.740738112136267,70.45,3.6516353662452374,327.4156794052155,1.0
192,900102,ทัพหลวง,12.635103926096996,อ้อยตุลาคม,ทราย ,8.66,ทัพหลวง,7.344807121661721,อ้อยตุลาคม,ทราย ,16.85,ทัพหลวง,8.633611691022965,อ้อยตุลาคม,ทราย,28.74,ชลประทาน (> 3 ครั้ง),9.537840912927228,18.083333333333332,2.4487381670361987,441.97731742512394,0.4657760226616441
193,900106,ทัพหลวง,19.402811439650996,อ้อยตุลาคม,ทราย ,20.63,ทัพหลวง,5.033446437227339,อ้อยตอ 1,ทราย ,20.63,ทัพหลวง,,พักดิน,ทราย,,ชลประทาน (> 3 ครั้ง),12.218128938439168,20.63,5.129026192548139,186.71179118589154,1.0
194,900110,ทัพหลวง,20.01752136752137,อ้อยตุลาคม,ทราย ,23.4,ทัพหลวง,4.333333333333334,อ้อยตอ 1,ทราย ,23.4,ทัพหลวง,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),12.175427350427352,23.4,5.086324604536323,190.7786090917788,1.0
195,911111,หนองขาม,17.335308641975313,อ้อยน้ำราด,เหนียว,20.25,หนองขาม,8.943703703703703,อ้อยตอ 1,เหนียว,20.25,หนองขาม,9.429995017438962,อ้อยตอ 2,เหนียว,20.07,ชลประทาน (> 3 ครั้ง),11.90300245437266,20.19,4.81389970848163,216.72383728746382,1.0
